ra,dec,mag,ci
5.627413,21.142549,2.97,-0.148
9.764188,23.774255,2.97,0.808
18.096803,-30.424091,2.98,0.981
13.315359,-23.171512,2.99,0.92
17.793078,-40.126997,2.99,0.509
19.090169,13.863478,2.99,0.014
2.159058,34.987297,3,0.14
11.161062,44.498487,3,1.144
15.345483,71.834016,3,0.058
16.864509,-38.04738,3,-0.2
21.898808,-37.364852,3,-0.084
3.715416,47.787551,3.01,-0.125
6.338553,-30.063367,3.02,-0.16
7.050409,-23.833291,3.02,-0.077
12.168746,-22.619766,3.02,1.326
5.032815,43.823308,3.03,0.537
12.771346,-68.108119,3.04,-0.178
14.534636,38.308253,3.04,0.191
19.512023,27.959681,3.05,1.088
20.350187,-14.781367,3.05,0.79
6.732202,25.131124,3.06,1.377
10.372155,41.499516,3.06,1.603
19.209225,67.661541,3.07,0.99
18.293793,-36.761686,3.1,1.582
8.92323,5.945563,3.11,0.978
10.827079,-16.193648,3.11,1.232
11.596363,-63.019841,3.11,-0.044
20.626116,-47.291502,3.11,0.998
5.849329,-35.768309,3.12,1.146
8.986828,48.041826,3.12,0.223
16.977006,-55.990141,3.12,1.552
17.250531,24.839204,3.12,0.08
14.986025,-42.104194,3.13,-0.208
9.350925,34.392562,3.14,1.55
9.520371,-57.034377,3.16,1.538
17.250788,36.809162,3.16,1.437
6.629353,-43.195934,3.17,-0.103
9.547715,51.6773,3.17,0.475
17.146448,65.714683,3.17,-0.12
18.76094,-26.990778,3.17,-0.107
5.10858,41.234474,3.18,-0.148
14.708492,-64.975138,3.18,0.256
4.830669,6.961276,3.19,0.484
5.091018,-22.371032,3.19,1.46
16.961139,9.375033,3.19,1.16
17.830965,-37.043304,3.19,1.192
21.215607,30.226916,3.21,0.99
23.65582,77.632276,3.21,1.031
15.356201,-40.647518,3.22,-0.227
16.305358,-4.692511,3.23,0.966
18.355167,-2.898825,3.23,0.941
21.477662,70.560716,3.23,-0.201
6.803194,-61.941391,3.24,0.225
20.188413,-0.821461,3.24,-0.066
7.487179,-43.301432,3.25,1.509
14.106193,-26.682361,3.25,1.091
15.067839,-25.281965,3.25,1.674
18.982395,32.689557,3.25,-0.049
3.787295,-74.238962,3.26,1.59
0.655462,30.861024,3.27,1.268
17.366827,-24.999545,3.27,-0.186
22.910837,-15.82082,3.27,0.066
5.215528,-16.205468,3.29,-0.11
10.228961,-70.037903,3.29,-0.074
15.415494,58.966065,3.29,1.166
4.566598,-55.044975,3.3,-0.079
10.533743,-61.685332,3.3,-0.089
6.247961,22.506799,3.31,1.6
17.423239,-56.377727,3.31,-0.15
1.101407,-46.718414,3.32,0.885
3.08627,38.840274,3.32,1.528
12.257086,57.032617,3.32,0.077
17.202552,-43.239189,3.32,0.441
17.983775,-9.773632,3.32,0.987
19.11567,-27.670423,3.32,1.169
4.240404,-62.473858,3.33,0.915
11.237335,15.42957,3.33,-0.003
7.821571,-24.859786,3.34,1.218
1.906584,63.670101,3.35,-0.15
5.407949,-2.397146,3.35,-0.24
6.754824,12.895591,3.35,0.443
8.504431,60.718169,3.35,0.856
