num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
43,Ariadne,59000,2.2031584,0.16843458,3.47136,16.34933,264.80931,258.3900061,7.9,0.11,,,thumb/8/80/43Ariadne_%28Lightcurve_Inversion%29.png/265px-43Ariadne_%28Lightcurve_Inversion%29.png
44,Nysa,59000,2.4248591,0.14799278,3.71008,343.86448,131.49478,186.5544316,6.9,0.46,,,thumb/d/d7/44Nysa_%28Lightcurve_Inversion%29.png/265px-44Nysa_%28Lightcurve_Inversion%29.png
46,Hestia,59000,2.5251948,0.17230175,2.35004,177.38304,181.07716,168.1565818,8.5,0.06,,,
47,Aglaja,59000,2.8822737,0.129947,4.97455,314.83731,3.06645,132.7057218,8.1,0.16,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Aglaja_%28asteroid%29.jpg/245px-Aglaja_%28asteroid%29.jpg
49,Pales,59000,3.0976943,0.22137899,3.20181,112.95731,285.05504,312.0438872,7.8,0.15,,,
50,Virginia,59000,2.6494315,0.28586209,2.83791,200.01195,173.52087,250.0164934,9.2,0.15,,,
51,Nemausa,59000,2.3649595,0.06777108,9.97893,2.25229,175.96518,204.7830974,7.6,0.08,,,thumb/9/91/A642.M1065.shape%281%29.png/265px-A642.M1065.shape%281%29.png
53,Kalypso,59000,2.6189317,0.20480814,5.17168,313.48488,143.51794,157.27103,8.9,0.15,,,thumb/5/57/53Kalypso_%28Lightcurve_Inversion%29.png/250px-53Kalypso_%28Lightcurve_Inversion%29.png
54,Alexandra,59000,2.7110279,0.19730252,11.79822,345.05049,313.24677,106.6242633,7.8,0.15,,,thumb/a/ae/54Alexandra_%28Lightcurve_Inversion%29.png/265px-54Alexandra_%28Lightcurve_Inversion%29.png
55,Pandora,59000,2.7604376,0.14324642,7.1794,5.38596,10.36964,86.9915455,7.7,0.15,,,thumb/5/55/55Pandora_%28Lightcurve_Inversion%29.png/265px-55Pandora_%28Lightcurve_Inversion%29.png
56,Melete,59000,2.59671,0.23839369,8.08014,104.98981,192.97499,340.8418594,8.5,0.15,,,thumb/a/ad/56Melete_%28Lightcurve_Inversion%29.png/265px-56Melete_%28Lightcurve_Inversion%29.png
57,Mnemosyne,59000,3.1543421,0.11238717,15.20417,210.6404,199.16793,213.7129644,7,0.15,,,
58,Concordia,59000,2.6994842,0.04259807,5.06595,31.12145,161.10648,27.0375919,9,0.15,,,
59,Elpis,59000,2.7135496,0.11878207,8.63991,210.8517,170.00087,247.6888803,8,0.15,,,
60,Echo,59000,2.3921118,0.18484574,3.60051,271.2181,191.54654,314.9727951,8.5,0.27,,,thumb/4/4a/60Echo_%28Lightcurve_Inversion%29.png/265px-60Echo_%28Lightcurve_Inversion%29.png
61,Danae,59000,2.9840059,0.16502313,18.20999,12.47045,333.57186,348.6174068,7.5,0.15,,,thumb/2/2e/61_Danae.gif/250px-61_Danae.gif
62,Erato,59000,3.1286345,0.1676604,2.23657,277.17613,125.12256,310.1937753,8.7,0.15,,,thumb/a/aa/62Erato_%28Lightcurve_Inversion%29.png/280px-62Erato_%28Lightcurve_Inversion%29.png
63,Ausonia,59000,2.3952191,0.12695704,5.77641,296.06547,337.72113,245.7633978,7.4,0.25,,,thumb/0/05/63Ausonia_%28Lightcurve_Inversion%29.png/265px-63Ausonia_%28Lightcurve_Inversion%29.png
64,Angelina,59000,2.6834094,0.12521714,1.30985,179.22445,309.09717,128.071845,8,0.48,,,thumb/d/d0/64Angelina_%28Lightcurve_Inversion%29.png/280px-64Angelina_%28Lightcurve_Inversion%29.png
65,Cybele,59000,3.4248377,0.11204601,3.56404,102.83031,155.6184,323.0142315,6.8,0.01,,,thumb/9/97/65_Cybele.png/265px-65_Cybele.png
66,Maja,59000,2.6453818,0.1730117,3.046,43.89297,7.49346,110.7724032,9.5,0.15,,,thumb/c/c3/A737.M1234.shape%281%29.png/265px-A737.M1234.shape%281%29.png
67,Asia,59000,2.4213782,0.18514832,6.02891,106.89049,202.41126,23.2704289,8.3,0.15,,,
68,Leto,59000,2.7823942,0.18517519,7.96144,304.43829,44.07992,346.5297783,6.9,0.05,,,thumb/f/f6/68Leto_%28Lightcurve_Inversion%29.png/265px-68Leto_%28Lightcurve_Inversion%29.png
69,Hesperia,59000,2.9768227,0.17026031,8.59097,289.11277,184.98501,17.8971398,7.2,0.19,,,thumb/0/03/69Hesperia_%28Lightcurve_Inversion%29.png/265px-69Hesperia_%28Lightcurve_Inversion%29.png
70,Panopaea,59000,2.616382,0.18050596,11.59282,255.47906,47.68988,163.503671,8.1,0.14,,,
71,Niobe,59000,2.7556922,0.17320583,23.26532,267.0702,316.00504,350.1222983,7.1,0.4,,,thumb/5/5e/71Niobe_%28Lightcurve_Inversion%29.png/265px-71Niobe_%28Lightcurve_Inversion%29.png
72,Feronia,59000,2.2664678,0.12048594,5.41545,102.89937,207.96068,122.3153706,9.1,0.15,,,thumb/6/6b/72Feronia_%28Lightcurve_Inversion%29.png/265px-72Feronia_%28Lightcurve_Inversion%29.png
73,Klytia,59000,2.6663753,0.04179962,2.36888,53.84371,6.87937,245.8304111,9,0.15,,,thumb/d/d6/73Klytia_%28Lightcurve_Inversion%29.png/265px-73Klytia_%28Lightcurve_Inversion%29.png
74,Galatea,59000,2.7802634,0.23584929,4.0707,174.5382,197.14342,359.6915843,8.7,0.15,,,
75,Eurydike,59000,2.6739943,0.3035219,4.99151,339.33681,359.33905,52.0091084,9,0.23,,,
76,Freia,59000,3.4142649,0.16601085,2.12133,252.26699,204.30098,346.7613476,8,0.15,,,thumb/3/3d/76Freia_%28Lightcurve_Inversion%29.png/265px-76Freia_%28Lightcurve_Inversion%29.png
77,Frigga,59000,2.668864,0.13255785,2.42269,61.78325,1.14457,13.8722387,8.6,0.16,,,
78,Diana,59000,2.6188082,0.20714837,8.7019,152.7401,333.39718,51.2913003,8.4,0.08,,,
79,Eurynome,59000,2.4446359,0.18995792,4.61251,201.51101,206.53362,331.5055998,8,0.25,,,thumb/d/d3/79Eurynome_%28Lightcurve_Inversion%29.png/265px-79Eurynome_%28Lightcurve_Inversion%29.png
80,Sappho,59000,2.2952915,0.20031345,8.67607,139.61952,218.68822,210.6623848,8,0.15,,,thumb/4/4c/80Sappho_%28Lightcurve_Inversion%29.png/265px-80Sappho_%28Lightcurve_Inversion%29.png
81,Terpsichore,59000,2.8537116,0.21084735,7.80314,51.63428,0.94794,69.0020725,8.6,0.15,,,
82,Alkmene,59000,2.762812,0.22028082,2.82647,111.16708,25.44437,261.5988249,8.2,0.28,,,thumb/a/a4/82Alkmene_%28Lightcurve_Inversion%29.png/265px-82Alkmene_%28Lightcurve_Inversion%29.png
83,Beatrix,59000,2.4319642,0.08129869,4.96377,168.59496,27.72641,333.5711087,8.8,0.15,,,
