name,type,epoch,orbiting,orbitRef,a,e,w,m,inc,omega,lDot,P,wDot,omegaDot,H,radius,orbitRA,orbitDec,tilt,info,wiki,wikipic
Kiviuq,3,51544,Saturn,E,11384000,0.3325,90.205,172.018,46.764,353.584,29271.4659552021,449.22,19973.94,840.86,12.7,8.5,,,,,Kiviuq_(moon),thumb/0/00/Kiviuq-CFHT.gif/375px-Kiviuq-CFHT.gif
Loge,3,51544,Saturn,E,23059000,0.1862,32.821,337.237,167.689,343.811,10027.1199488576,1311.37,251.72,307.35,13.5,2.5,,,,,Loge_(moon),0/08/Loge_N00177425.jpg
Mundilfari,3,51544,Saturn,E,18653000,0.2097,309.694,92.821,167.439,82.856,13800.5834350106,952.8,312.23,417.31,14.5,3.5,,,,,Mundilfari_(moon),thumb/6/62/Mundilfari-discovery-CFHT.gif/375px-Mundilfari-discovery-CFHT.gif
Narvi,3,51544,Saturn,E,19349000,0.4296,169.959,114.172,145.731,174.435,13097.629301599,1003.94,341.38,347.42,14.4,3.5,,,,,Narvi_(moon),c/c9/Narvi.jpg
Paaliaq,3,51544,Saturn,E,15204000,0.3325,237.522,321.654,46.228,330.022,19141.5044247782,686.95,576.14,535.71,11.9,12.5,,,,,Paaliaq,thumb/f/ff/Paaliaq.jpg/375px-Paaliaq.jpg
S/2004 S12,3,51544,Saturn,E,19886000,0.3268,87.128,1.599,165.261,307.942,12569.6621865734,1046.11,273.22,351.49,15.5,2.5,,,,,S/2004_S_12,
S/2004 S13,3,51544,Saturn,E,18406000,0.2591,346.186,41.077,168.798,205.701,14084.4424175161,933.6,302.01,409.39,15.6,3,,,,,S/2004_S_13,
S/2004 S17,3,51544,Saturn,E,19448000,0.1795,180.792,228.545,168.239,26.664,12959.9130424935,1014.61,300.99,397.14,16,2,,,,,S/2004_S_17,
S/2004 S7,3,51544,Saturn,E,21000000,0.529,84.036,79.762,165.693,341.236,11532.2902848898,1140.21,211.18,273.22,,3,,,,,S/2004_S_7,
S/2006 S1,3,51544,Saturn,E,18780000,0.1412,154.95,96.596,156.18,336.641,13665.3143935372,962.23,405.14,453.57,15.6,2.5,,,,,S/2006_S_1,
S/2006 S3,3,51544,Saturn,E,22428000,0.3792,188.728,167.147,158.631,206.993,10476.1989946025,1255.15,245.54,287.39,15.6,3,,,,,S/2006_S_3,
S/2007 S2,3,51544,Saturn,E,16718000,0.1791,57.72,84.066,174.057,111.277,16270.7209038889,808.15,342.95,496.45,15.7,3,,,,,S/2007_S_2,
S/2007S3 ,3,51544,Saturn,E,18938000,0.1853,111.854,292.691,177.595,276.824,13448.1000870247,977.78,1079.63,161352.07,15.7,2.5,,,,,S/2007_S_3,
Siarnaq,3,51544,Saturn,E,18182000,0.2802,65.929,201.288,45.809,47.826,14683.5505143632,895.51,457.4,454.2,10.6,19.95,,,,,Siarnaq,thumb/0/0b/Siarnaq_Cassini_color_composite.png/375px-Siarnaq_Cassini_color_composite.png
Skathi,3,51544,Saturn,E,15635000,0.2718,203.517,114.689,152.633,286.599,18059.6698660267,728.1,474.36,546.69,14.3,4,,,,,Skathi_(moon),thumb/1/18/Skathi-discovery-CFHT.gif/375px-Skathi-discovery-CFHT.gif
Skoll,3,51544,Saturn,E,17668000,0.4636,193.115,44.965,161.01,296.623,14972.2966270056,878.24,286.68,369.06,15.4,2.5,,,,,Skoll_(moon),
Surtur,3,51544,Saturn,E,22941000,0.4459,303.662,136.191,169.688,236.537,10137.2666576839,1297.12,202.95,259.66,15.8,3,,,,,Surtur_(moon),7/7c/Surtur%2C_sat%C3%A9lite.jpg
Suttungr,3,51544,Saturn,E,19468000,0.1139,34.281,321.133,175.815,227.259,12933.5524907758,1016.68,292.79,402.2,14.5,3.5,,,,,Suttungr_(moon),thumb/e/e2/Suttungr-discovery-CFHT.gif/375px-Suttungr-discovery-CFHT.gif
Tarqeq,3,51544,Saturn,E,17962000,0.1675,34.767,161.02,46.291,83.291,14855.3196241912,885.15,896.54,593.15,14.8,3.5,,,,,Tarqeq_(moon),thumb/b/b6/Tarqeq-cassini.png/375px-Tarqeq-cassini.png
Tarvos,3,51544,Saturn,E,18243000,0.5382,274.104,265.783,33.725,102.504,14194.6877455604,926.35,194.18,272.97,12.8,7.5,,,,,Tarvos_(moon),a/a3/Tarvos_discovery.gif
Thrymr,3,51544,Saturn,E,20418000,0.4659,125.404,30.075,177.659,285.762,12041.3261626211,1092.01,875.11,139002.09,14.3,4,,,,,Thrymr_(moon),thumb/3/3a/Thrymr-discovery-CFHT.gif/375px-Thrymr-discovery-CFHT.gif
Ymir,3,51544,Saturn,E,23128000,0.3338,21.352,228.673,173.497,192.937,9998.4144512895,1315.13,217.61,277.53,12.3,9.5,,,,,Ymir_(moon),thumb/8/8c/Ymir-discovery-eso0036a_%28cropped%29.jpg/330px-Ymir-discovery-eso0036a_%28cropped%29.jpg
Aegaeon,3,51544.5,Saturn,L,167425,0.0002,152.905,322.771,0.001,317.202,16271930.5489542,0.808,0.343,0.688,18.7,0.33,40.584,83.537,0.001,,Aegaeon_(moon),thumb/8/83/N1643264379_1.jpg/330px-N1643264379_1.jpg
Anthe,3,51544.5,Saturn,L,196888,0.0011,138.902,190.473,0.015,287.852,12687498.1518189,1.036,0.617,1.232,14.8,0.9,40.583,83.537,0,,Anthe_(moon),thumb/f/f3/Anthe_N1832831075_1.jpg/330px-Anthe_N1832831075_1.jpg
Atlas,3,51544.5,Saturn,L,137774,0.0011,210.851,283.282,0.003,236.422,21853826.9696882,0.602,0.171,0.344,10.7,15.1,40.585,83.538,0,,Atlas_(moon),thumb/b/bd/Atlas_2017-04-12_raw_preview.jpg/330px-Atlas_2017-04-12_raw_preview.jpg
Calypso,3,51544.5,Saturn,L,294721,0.0005,17.47,156.66,1.5,314.226,6965362.46365193,1.888,2.487,4.983,8.7,10.7,40.578,83.537,0.001,,Calypso_(moon),thumb/b/b7/N00151485_Calypso_crop.jpg/330px-N00151485_Calypso_crop.jpg
Daphnis,3,51544.5,Saturn,L,136504,0,266.931,113.79,0.003,132.867,22133774.0821139,0.594,0.166,0.334,12,3.8,40.583,83.538,0,,Daphnis_(moon),thumb/6/6d/PIA21056cropsharpen.jpg/330px-PIA21056cropsharpen.jpg
Dione,2,51544.5,Saturn,L,377415,0.0022,284.315,322.232,0.028,290.415,4804397.0394939,2.737,5.852,11.709,0.4,561.4,40.544,83.54,0.005,,Dione_(moon),thumb/d/d0/Dione_in_natural_light_%28cropped%29.jpg/330px-Dione_in_natural_light_%28cropped%29.jpg
Enceladus,2,51544.5,Saturn,L,238042,0,0.076,199.686,0.003,342.507,9596449.74345157,1.37,1.184,2.36,1.8,252.1,40.586,83.536,0.002,,Enceladus,thumb/8/83/PIA17202_-_Approaching_Enceladus.jpg/420px-PIA17202_-_Approaching_Enceladus.jpg
Epimetheus,3,51544.5,Saturn,L,151450,0.0161,88.975,80.377,0.353,192.762,18923857.9323268,0.695,0.24,0.482,5.6,58.1,40.585,83.538,0,,Epimetheus_(moon),thumb/2/24/PIA09813_Epimetheus_S._polar_region.jpg/390px-PIA09813_Epimetheus_S._polar_region.jpg
Helene,3,51544.5,Saturn,L,377444,0,33.134,43.186,0.213,163.112,4804397.03584134,2.737,2.562,11.706,7.3,17.6,40.544,83.54,0.005,,Helene_(moon),thumb/d/d6/Leading_hemisphere_of_Helene_-_20110618.jpg/330px-Leading_hemisphere_of_Helene_-_20110618.jpg
Hyperion,3,51544.5,Saturn,L,1500933,0.0232,303.178,86.342,0.615,263.847,618011.950871876,21.28,127.99,154.66,48,135,36.372,83.862,0.564,,Hyperion_(moon),thumb/9/94/Hyperion_true.jpg/330px-Hyperion_true.jpg
Iapetus,2,51544.5,Saturn,L,3560854,0.0293,271.606,201.789,8.298,81.105,165751.20443224,79.33,1676.69,3438.73,1.7,734.3,284.715,78.749,15.21,,Iapetus_(moon),thumb/c/c9/Iapetus_as_seen_by_the_Cassini_probe_-_20071008.jpg/330px-Iapetus_as_seen_by_the_Cassini_probe_-_20071008.jpg
Janus,3,51544.5,Saturn,L,151450,0.0098,16.012,17.342,0.165,154.175,18932813.4229797,0.695,0.24,0.482,4.7,89.5,40.585,83.538,0,,Janus_(moon),thumb/6/62/PIA12714_Janus_crop.jpg/330px-PIA12714_Janus_crop.jpg
Methone,3,51544.5,Saturn,L,194402,0,134.636,71.189,0.013,313.562,13024856.5442809,1.01,0.25,1.158,13.8,1.45,40.589,83.536,0.002,,Methone_(moon),thumb/2/2c/Methone_PIA14633.jpg/330px-Methone_PIA14633.jpg
Mimas,2,51544.5,Saturn,L,185539,0.0196,332.499,14.848,1.574,173.027,13952591.985667,0.942,0.493,0.986,2.7,198.2,40.589,83.536,0.002,,Mimas_(moon),thumb/b/bc/Mimas_Cassini.jpg/330px-Mimas_Cassini.jpg
Pallene,3,51544.5,Saturn,L,212282,0.004,16.074,356.229,0.001,123.18,11396987.4097195,1.154,0.862,1.899,12.9,2.2,40.579,83.537,0.001,,Pallene_(moon),thumb/8/80/Pallene_N1665945513_1.jpg/330px-Pallene_N1665945513_1.jpg
Pan,3,51544.5,Saturn,L,133585,0,103.331,351.187,0,52.076,22866207.4319949,0.575,0.154,0.309,9.1,14.1,40.583,83.538,0,,Pan_(moon),thumb/b/b5/PIA21436.jpg/330px-PIA21436.jpg
Pandora,3,51544.5,Saturn,L,141810,0.0042,66.248,125.112,0.05,147.272,20921441.6139101,0.629,0.19,0.381,6.6,40.7,40.585,83.538,0,,Pandora_(moon),thumb/b/bc/PIA21055_-_Pandora_Up_Close.jpg/330px-PIA21055_-_Pandora_Up_Close.jpg
Phoebe,3,51544.5,Saturn,L,12947918,0.1634,342.5,53.038,175.243,241.086,23994.1068777238,548.02,460.92,723.17,6.6,106.5,275.954,67.455,26.723,,Phoebe_(moon),thumb/3/32/Phoebe_cassini.jpg/330px-Phoebe_cassini.jpg
Polydeuces,3,51544.5,Saturn,L,377222,0.0191,311.847,89.307,0.175,67.936,4804397.03584134,2.737,5.811,11.695,13.5,1.3,40.543,83.54,0.005,,Polydeuces_(moon),0/04/Polydeuces.jpg
Prometheus,3,51544.5,Saturn,L,139429,0.0022,37.514,96.886,0.007,319.176,21450995.3587458,0.613,0.179,0.359,6.5,43.1,40.585,83.538,0,,Prometheus_(moon),thumb/0/08/Prometheus_12-26-09b.jpg/330px-Prometheus_12-26-09b.jpg
Rhea,2,51544.5,Saturn,L,527068,0.0002,241.619,179.781,0.333,351.042,2910729.63327371,4.518,17.939,35.832,-0.2,763.8,40.328,83.559,0.036,,Rhea_(moon),thumb/a/ab/PIA07763_Rhea_full_globe5.jpg/330px-PIA07763_Rhea_full_globe5.jpg
Telesto,3,51544.5,Saturn,L,294720,0.0002,119.135,260.157,1.18,229.182,6965362.46365193,1.888,2.489,4.982,8.7,12.4,40.578,83.537,0.001,,Telesto_(moon),thumb/b/b6/Telesto_cassini_closeup.jpg/330px-Telesto_cassini_closeup.jpg
Tethys,2,51544.5,Saturn,L,294672,0.0001,45.202,243.367,1.091,259.842,6965362.53670321,1.888,2.49,4.982,0.3,531.1,40.578,83.537,0.001,,Tethys_(moon),thumb/b/bc/PIA18317-SaturnMoon-Tethys-Cassini-20150411.jpg/330px-PIA18317-SaturnMoon-Tethys-Cassini-20150411.jpg
Titan,2,51544.5,Saturn,L,1221865,0.0288,180.532,163.31,0.306,28.06,824638.399519574,15.95,352.12,704.6,-1.3,2574.73,36.214,83.949,0.629,,Titan_(moon),thumb/4/45/Titan_in_true_color.jpg/330px-Titan_in_true_color.jpg
Romulus,3,51344,87 Sylvia,Q,1351.35,0.0069,,175,1.7,93.17,,3.6496,,,10.7,5.4,,,,,,
Remus,3,51344,87 Sylvia,Q,706,0.016,,,2,,,1.3788,,,11.1,3.5,,,,,,
Caliban,3,51544.5,Uranus,E,7231100,0.1812,354.339,7.271,141.529,171.189,22681.5362219015,579.73,8936.31,6445.52,,21,,,,,Caliban_(moon),thumb/6/65/Caliban_discovery_Palomar.gif/375px-Caliban_discovery_Palomar.gif
Ferdinand,3,51544.5,Uranus,E,20430000,0.3993,156.298,26.163,169.793,217.35,4712.9430299889,2790.03,747.3,1001.7,,10,,,,,Ferdinand_(moon),thumb/0/08/Uranus_moon_021002_02.jpg/330px-Uranus_moon_021002_02.jpg
Francisco,3,51544.5,Uranus,E,4282900,0.1324,140.644,3.202,147.25,100.738,49231.6742548267,267.09,12574.36,14080.4,,11,,,,,Francisco_(moon),
Margaret,3,51544.5,Uranus,E,14146700,0.6772,90.017,322.187,57.367,7.067,7916.4422244986,1661,12057739.22,987.08,,10,,,,,Margaret_(moon),thumb/a/ac/S2003u3acircle.gif/375px-S2003u3acircle.gif
Prospero,3,51544.5,Uranus,E,16276800,0.4445,174.152,233.586,151.83,319.003,6646.4933336748,1978.37,1155.47,1370.39,,25,,,,,Prospero_(moon),thumb/a/a6/Prospero_-_Uranus_moon.jpg/375px-Prospero_-_Uranus_moon.jpg
Setebos,3,51544.5,Uranus,E,17420400,0.5908,359.953,179.449,158.235,250.235,5909.5594008132,2225.08,823.91,1044.2,,24,,,,,Setebos_(moon),b/ba/Uranus_-_Setebos_image.jpg
Stephano,3,51544.5,Uranus,E,8007400,0.2248,14.956,270.163,143.819,191.411,19409.2336862936,677.47,5484.23,5182.2,,16,,,,,Stephano_(moon),e/e9/Stephano_-_Uranus_moon.jpg
Sycorax,3,51544.5,Uranus,E,12179400,0.5219,20.103,266.583,159.42,263.034,10206.0553885277,1288.38,1393.43,1863.29,,78.5,,,,,Sycorax_(moon),thumb/2/24/Uranus-sycorax2.gif/375px-Uranus-sycorax2.gif
Trinculo,3,51544.5,Uranus,E,8505200,0.2194,158.688,180.374,166.971,193.755,17546.3568362846,749.4,2592.77,4273.04,,9,,,,,Trinculo_(moon),https://upload.wikimedia.org/wikipedia/en/0/0d/Trinculo_discovery.jpg
Ariel,2,44239,Uranus,Q,190900,0.0012,115.349,39.481,0.041,22.394,5217163.29112662,2.52,28.788,57.248,,578.9,,,,,Ariel_(moon),thumb/5/59/Ariel_%28moon%29.jpg/330px-Ariel_%28moon%29.jpg
Miranda,2,44239,Uranus,Q,129900,0.0013,68.312,311.33,4.338,326.438,9302738.32850543,1.413,8.913,17.727,,235.8,,,,,Miranda_(moon),thumb/e/e1/PIA18185_Miranda%27s_Icy_Face.jpg/330px-PIA18185_Miranda%27s_Icy_Face.jpg
Oberon,2,44239,Uranus,Q,583500,0.0014,104.4,283.088,0.068,279.771,976676.842756723,13.46,161.52,195.37,,761.4,,,,,Oberon_(moon),0/09/Voyager_2_picture_of_Oberon.jpg
Titania,2,44239,Uranus,Q,436300,0.0011,284.4,24.614,0.079,99.771,1510387.09542647,8.706,161.525,195.369,,788.4,,,,,Titania_(moon),thumb/a/ac/Titania_%28moon%29_color%2C_cropped.jpg/390px-Titania_%28moon%29_color%2C_cropped.jpg
Umbriel,2,44239,Uranus,Q,266000,0.0039,84.709,12.469,0.128,33.485,3172941.40522087,4.144,63.146,126.951,,584.7,,,,,Umbriel_(moon),thumb/2/2f/PIA00040_Umbrielx2.47.jpg/390px-PIA00040_Umbrielx2.47.jpg
Belinda,3,46449,Uranus,Q,75300,0.0001,42.406,357.224,0.031,279.337,21088451.9118141,0.624,1.397,2.796,,45,,,,,Belinda_(moon),6/64/Belinda.gif
Bianca,3,46449,Uranus,Q,59200,0.0009,8.293,138.486,0.193,93.22,30257397.3678269,0.435,0.603,1.206,,25.5,,,,,Bianca_(moon),thumb/c/cf/Biancamoon.png/330px-Biancamoon.png
Cordelia,3,46449,Uranus,Q,49800,0.0003,136.827,254.805,0.085,38.374,39247465.2152096,0.335,0.328,0.657,,20,,,,,Cordelia_(moon),thumb/5/59/Cordeliamoon.png/330px-Cordeliamoon.png
Cressida,3,46449,Uranus,Q,61800,0.0004,44.236,233.795,0.006,99.403,28365166.8253503,0.464,0.701,1.402,,40,,,,,Cressida_(moon),thumb/5/57/Cressida.png/330px-Cressida.png
Desdemona,3,46449,Uranus,Q,62700,0.0001,183.285,184.627,0.113,306.089,27761512.1962722,0.474,0.737,1.474,,32,,,,,Desdemona_(moon),thumb/4/41/Desdemonamoon.png/330px-Desdemonamoon.png
Juliet,3,46449,Uranus,Q,64400,0.0007,223.819,244.696,0.065,200.155,26668321.6564821,0.493,0.809,1.619,,47,,,,,Juliet_(moon),thumb/3/39/Julietmoon.png/330px-Julietmoon.png
Ophelia,3,46449,Uranus,Q,53800,0.0099,17.761,116.259,0.104,164.048,34934153.4381733,0.376,0.431,0.862,,21.5,,,,,Ophelia_(moon),thumb/0/04/Opheliamoon.png/330px-Opheliamoon.png
Portia,3,46449,Uranus,Q,66100,0.0001,222.433,218.312,0.059,260.067,25622240.0889831,0.513,0.888,1.777,,67.5,,,,,Portia_(moon),thumb/2/25/Uranus-Portia-Cressida-Ophelia-NASA.gif/330px-Uranus-Portia-Cressida-Ophelia-NASA.gif
Puck,3,46449,Uranus,Q,86000,0.0001,177.094,245.796,0.319,268.734,17259991.7495162,0.762,2.224,4.448,,81,,,,,Puck_(moon),b/b6/Puck.png
Rosalind,3,46449,Uranus,Q,69900,0.0001,140.477,136.181,0.279,12.847,23545536.2067427,0.558,1.081,2.163,,36,,,,,Rosalind_(moon),thumb/3/34/Rosalindmoon.png/330px-Rosalindmoon.png
Cupid,3,53242,Uranus,Q,74392,0.0013,247.608,163.83,0.099,182.793,21456753.0701189,0.613,1.346,2.693,,9,,,,,Cupid_(moon),thumb/0/03/Cupidmoon.png/330px-Cupidmoon.png
Mab,3,53242,Uranus,Q,97736,0.0025,249.565,273.769,0.134,350.737,14246828.3470581,0.923,3.502,7.004,,12.5,,,,,Mab_(moon),thumb/7/79/Mabmoon.png/330px-Mabmoon.png
Perdita,3,53242,Uranus,Q,76417,0.0116,253.925,192.405,0.47,309.376,20609479.207815,0.638,1.479,2.958,,15,,,,,Perdita_(moon),thumb/c/c6/Perdita_feat.jpg/525px-Perdita_feat.jpg
Ilmare,3,51344,174567 Varda,E,4809,0.0181,,,101,,,5.75058,,,3.097,178,,,,,,
