name,type,epoch,orbiting,orbitRef,a,e,w,m,inc,omega,lDot,P,wDot,omegaDot,H,radius,orbitRA,orbitDec,tilt,info,wiki,wikipic
Eurydome,3,51544,Jupiter,E,23146000,0.2755,223.631,287.689,150.271,302.47,18331.248929608,717.31,111.58,93.3,16.2,1.5,,,,,Eurydome_(moon),thumb/e/ec/Eurydome-discovery-CFHT-annotated.gif/375px-Eurydome-discovery-CFHT-annotated.gif
Harpalyke,3,51544,Jupiter,E,21106000,0.2296,134.505,215.956,148.759,29.834,21095.4360335195,623.32,147.17,111.64,15.9,2,,,,,Harpalyke_(moon),thumb/8/8f/Harpalyke-Jewitt-CFHT-annotated.gif/375px-Harpalyke-Jewitt-CFHT-annotated.gif
Hegemone,3,51544,Jupiter,E,23575000,0.3445,197.144,236.95,154.164,318.902,17773.5134209979,739.82,85.66,84.87,15.9,1.5,,,,,Hegemone_(moon),
Helike,3,51544,Jupiter,E,21065000,0.1498,299.482,43.659,154.842,89.749,20994.234453023,626.33,127.4,114.52,16,2,,,,,Helike_(moon),
Hermippe,3,51544,Jupiter,E,21297000,0.2095,300.836,131.854,150.74,330.393,20743.0549573152,633.91,136.92,110.64,15.6,2,,,,,Hermippe_(moon),thumb/9/96/%CE%95%CF%81%CE%BC%CE%AF%CF%80%CF%80%CE%B7.gif/330px-%CE%95%CF%81%CE%BC%CE%AF%CF%80%CF%80%CE%B7.gif
Herse,3,51544,Jupiter,E,23408000,0.2541,330.295,141.667,164.964,295.702,17901.776845429,734.52,80.98,88.27,16.5,1,,,,,Herse_(moon),
Himalia,3,51544,Jupiter,E,11460000,0.1586,331.234,66.874,28.612,64.798,52478.4344129701,250.56,139.38,292.57,7.9,69.8,,,,,Himalia_(moon),thumb/f/fd/Himalia.png/375px-Himalia.png
Iocaste,3,51544,Jupiter,E,21272000,0.2152,64.727,213.675,149.411,269.613,20818.8237372559,631.6,145.78,111.18,15.4,2.5,,,,,Iocaste_(moon),thumb/f/f4/Iocaste-Jewitt-CFHT-annotated.gif/375px-Iocaste-Jewitt-CFHT-annotated.gif
Isonoe,3,51544,Jupiter,E,23231000,0.2471,116.879,124.941,165.25,130.961,18105.3342165289,726.26,81.8,89.52,16,2,,,,,Isonoe_(moon),thumb/3/3a/Isonoe-Jewitt-CFHT-annotated.gif/375px-Isonoe-Jewitt-CFHT-annotated.gif
Kale,3,51544,Jupiter,E,23306000,0.2597,44.233,212.853,164.944,60.17,18022.3041400918,729.61,80.91,88.57,16.4,1,,,,,Kale_(moon),thumb/b/b0/Kale-discovery-CFHT-annotated.gif/375px-Kale-discovery-CFHT-annotated.gif
Kallichore,3,51544,Jupiter,E,23276000,0.2509,9.836,55.937,165.102,30.339,18056.3095074871,728.23,81.56,89.16,16.4,1,,,,,Kallichore_(moon),
Kalyke,3,51544,Jupiter,E,23565000,0.2466,218.934,255.702,165.121,43.864,17720.3759253087,742.04,80.76,87.67,15.4,3.45,,,,,Kalyke,thumb/4/49/Kalyke-Jewitt-CFHT-annotated.gif/375px-Kalyke-Jewitt-CFHT-annotated.gif
