num,name,type,epoch,a,e,inc,w,omega,m,H,G,mass,axisRA,axisDec,thetaDot,info,wiki,wikipic,texture,radius
854,Frostia,3,59000,2.3688298,0.17374373,6.08631,84.21196,190.58346,147.2487902,11.9,0.15,0.00001,0,90,,,,,,
951,Gaspra,2,59000,2.2092378,0.17384991,4.10699,129.92059,253.05233,172.9363571,11.5,0.15,,10,27,44813405.2825902,Main belt asteroid,951_Gaspra,thumb/8/81/951_Gaspra.jpg/420px-951_Gaspra.jpg,,6.266
1566,Icarus,2,59000,1.0781689,0.82702135,22.82211,31.39334,87.99755,192.0831792,16.9,0.15,,0,90,139118321.283724,Apollo asteroid,1566_Icarus,6/66/Icarus_Goldstone_radar_Jun17.jpg,,0.73
2060,Chiron,2,59000,13.6857064,0.37878367,6.93955,339.81026,209.24244,172.8369428,5.8,0.15,,0,90,45056539.1205026,Centaur asteroid,2060_Chiron,thumb/9/94/2060_Chiron.jpg/375px-2060_Chiron.jpg,,108
4179,Toutatis,2,59000,2.545398,0.62424864,0.44795,277.98992,125.19941,311.2833559,15.2,0.1,,0,90,1793045.45454545,Main belt asteroid,4179_Toutatis,,,1.516
5145,Pholus,2,59000,20.3759391,0.5692573,24.6127,354.91915,119.44531,112.7149033,7.1,0.15,,0,90,31620841.6833667,Centaur asteroid,5145_Pholus,,,49.5
7066,Nessus,2,59000,24.6679678,0.51755488,15.64995,171.05037,31.24572,83.2081204,9.6,0.15,,0,90,315576000,Centaur asteroid,7066_Nessus,a/ae/7066_Nessus_Hubble.jpg,,28
10199,Chariklo,1,59000,15.8429597,0.169256,23.34972,243.38554,300.43556,93.1180963,6.7,0.15,,0,90,53324771.8823927,Ringed Centaur asteroid,10199_Chariklo,thumb/1/1c/10199_Chariklo.jpg/375px-10199_Chariklo.jpg,,2.5
19551,Chaos,2,59000,45.4743596,0.09838067,12.04652,57.58585,50.00632,342.8028312,4.8,0.15,,0,90,3299623.58845671,Possible dwarf planet,19521_Chaos,thumb/4/4b/19521_chaos_hst.jpg/375px-19521_chaos_hst.jpg,,300
20000,Varuna,2,59000,42.7173019,0.05616403,17.22129,262.2052,97.37195,119.1375472,3.6,0.15,,0,90,49747366.3103375,Possible dwarf planet,20000_Varuna,9/91/20000-varuna_hst.jpg,,334
28978,Ixion,2,59000,39.8176879,0.24503053,19.5888,298.17258,70.99934,288.8648255,3.6,0.15,,0,90,25449677.4193548,Possible dwarf planet,28978_Ixion,thumb/0/08/28978-ixion_hst.jpg/375px-28978-ixion_hst.jpg,,308.5
38628,Huya,1,59000,39.7640216,0.28201106,15.47299,68.45352,169.39115,7.2577404,4.8,0.15,0.5,0,90,59768181.8181818,Possible dwarf planet,38628_Huya,7/7f/Huya_Hubble.png,,203
,Quaoar,2,59000,43.6950549,0.04105372,7.98951,147.45128,188.92726,301.1317699,2.4,0.15,14,0,90,35701065.6831912,Dwarf planet (MPD 50000),50000_Quaoar,a/ae/Quaoar_PRC2002-17e.jpg,,763
,Sedna,2,59000,484.547637,0.84261742,11.93069,311.34843,144.24766,358.1177059,1.3,0.15,,0,90,31557600,Dwarf planet (MPD 90377),90377_Sedna,0/02/Sedna_PRC2004-14d.jpg,,498
,Orcus,1,59000,39.174347,0.22701085,20.59232,72.31084,268.79923,181.7342289,2.2,0.15,6.348,0,90,315576000,Dwarf planet (MPD 90482),90482_Orcus,thumb/2/2b/Orcus-Vanth_10801.jpg/375px-Orcus-Vanth_10801.jpg,,458
99942,Apophis,2,59000,0.9225707,0.19147473,3.33686,126.68696,204.04839,248.1482869,19.7,0.25,,0,90,10380789.4736842,Near-Earth asteroid,99942_Apophis,thumb/d/df/99942_Apophis_shape.png/375px-99942_Apophis_shape.png,,0.162
101955,Bennu,1,55562,1.126391,0.20374511,6.03494,66.22307,2.06087,101.7039479,20.19,-0.08,,85.65,-60.17,73457125.918022,Apollo asteroid,101955_Bennu,thumb/3/32/BennuAsteroid.jpg/375px-BennuAsteroid.jpg,,262.5
120347,Salacia,1,59000,42.1850084,0.10636627,23.92085,312.30909,279.87985,123.11977,4.1,0.15,4.822,0,90,51818719.2118227,Possible dwarf planet,120347_Salacia,0/00/Salacia_Hubble.png,,423
,Haumea,1,59000,43.1822221,0.19488623,28.21354,238.7794,122.1628,217.7721536,0.2,0.15,40,282.6,13,80599876.2304484,Dwarf planet (MPD 136108),136108_Haumea,2/2b/Haumea_Hubble.png,1k_haumea_fictional.jpg,760
,Eris,1,59000,67.8642709,0.43604865,44.03931,151.64367,35.95083,205.9780077,-1.1,0.15,164.66,0,90,12184401.5444015,Dwarf planet (MPD 136199),136199_Eris,thumb/5/5b/Eris_and_dysnomia2.jpg/330px-Eris_and_dysnomia2.jpg,1k_eris_fictional.jpg,1163
,Makemake,1,59000,45.4307018,0.16125007,28.98347,294.83501,79.61944,165.5122231,-0.1,0.15,31,0,90,13824923.5540992,Dwarf planet (MPD 163472),136472_Makemake,thumb/2/29/Makemake_and_its_moon.jpg/330px-Makemake_and_its_moon.jpg,1k_makemake_fictional.jpg,715
162173,Ryugu,2,59000,1.1896796,0.19030117,5.88193,211.48532,251.57833,193.6376474,19.3,0.15,,0,90,41376163.629212,Apollo asteroid,162173_Ryugu,thumb/d/de/Ryugu_colored.jpg/330px-Ryugu_colored.jpg,,0.4325
174567,Varda,1,59000,46.110349,0.14315232,21.5114,180.07164,184.1507,275.207755,3.4,0.15,2.45,0,90,56252406.4171123,Possible dwarf planet,174567_Varda,4/40/Varda.gif,,373
,Gonggong,2,59000,67.4735756,0.50051766,30.6566,207.67156,336.85389,106.0046466,1.6,0.15,17.5,0,90,56252406.4171123,Dwarf planet (MPD 225088),225088_Gonggong,thumb/9/95/2007_OR10_and_its_moon.png/375px-2007_OR10_and_its_moon.png,,615
471143,Dziewanna,2,59000,70.3213981,0.53790382,29.47724,284.53526,346.27443,348.7661562,3.9,0.15,,0,90,44635926.4497878,Possible dwarf planet,471143_Dziewanna,,,235
486958,Arrokoth,2,58600,44.6736039,0.05230625,2.44794,181.48456,159.1041,316.551,11.1,0.15,,317.5,24.89,19800225.8752667,Kuiper Belt object,486958_Arrokoth,thumb/0/09/UltimaThule_CA06_color_vertical_%28rotated%29.png/375px-UltimaThule_CA06_color_vertical_%28rotated%29.png,,15
,2018 VG18,2,59000.5,81.336,0.53531,24.403,16.753,245.363,158.009,3.5,0.15,,0,90,,Kuiper Belt object,2018_VG18,,,
,2018 AG37,2,58538.5,86,0.685,18.71,250.52,68.53,117.87,4.185,0.15,,0,90,,Kuiper Belt object,2018_AG37,,,
,2021 DR15,2,59600,67.171,0.4369,30.691,21.846,334.122,334.122,3.61,0.15,,0,90,,Kuiper Belt object,2021_DR15,,,
589683,2010 RF43,2,59000,49.692,0.2457,30.638,193.48,25.32,97.52,3.9,0.15,,0,90,,Kuiper Belt object,(589683)_2010_RF43,,,
